ID,is_interesting,news,category
005503512f38f130303cb133d656203b,1,"What 2020 holds for Scottish politics. After a tumultuous 2019, what does the new year have in prospect for Scottish politics?",BBC News - UK Politics
007b36b1081c3dddafe8869961ded463,1,London council's special needs inquiry caused by 'systemic failures'. The cases of all children with suspected special educational needs in Richmond are going to be reviewed.,BBC News - Family & Education
0090dbe2404af0f2ee72ac4ea1a7376a,1,"'Resistant' trees planted in Hampshire in ash dieback fight. Scientists have identified 3,000 ash trees with suspected resistance to a deadly disease.",BBC News - Science & Environment
00d684e0145b5fb5f15adbcb5fc23ee4,0,Primary league tables: How did your school do?. New primary school league table data for England has been published by the Department for Education.,BBC News - Family & Education
01ed4160c0609908173d1fa04fc77cf8,0,"The problem with celebrating tennis' most successful player. Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.",BBC News - Home
043d4121f98949800bfd5332c83de874,0,"Sheffield students paid to tackle racist language on campus. The students will be trained to tackle ""subtle but offensive comments"" on campus and in student housing.",BBC News - Family & Education
06113c818fdff9e1076d7ce19c60709a,1,"Climate change: Can Glasgow go carbon neutral?. As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.",['BBC News - Home' 'BBC News - Science & Environment' 'BBC News - UK']
07dc65d05bdc97a4124ee5535359b096,0,Arfield and Defoe see Rangers past Stranraer in Scottish Cup. Rangers begin their Scottish Cup campaign with a routine victory over Stranraer at Ibrox to ease into the fifth round.,BBC News - Home
09ad9ac0c69ca1454d071fcd88c93d66,0,Sunderland woman left bloodied after 'homophobic attack'. Police are treating the attack on Charlie Graham as a hate crime.,BBC News - UK
0a35f79b90d245f970bfc721f2dd5018,1,Microsoft makes 'carbon negative' pledge. The tech giant promises to remove all the carbon it has emitted since its founding in 1975.,"['BBC News - Business' 'BBC News - Science & Environment'
 'BBC News - Technology']"
0abd941c560b6b76a44c76d20395c120,0,"‘Why Ollie Pope is the real deal and belongs in Test cricket’ - Agnew column. Ollie Pope's maiden Test century shows he is the ""real deal"" as a Test batsman, says Jonathan Agnew.",BBC News - Home
0bd23a06bdd2e8d98382b600aaddb57c,0,"Scottish independence: Labour candidate Lisa Nandy criticised for Catalonia remarks. Lisa Nandy claims that the UK should ""look to Catalonia"" for lessons on how to defeat Scottish nationalism.",BBC News - UK Politics
0c1fa1da6a3284fb3d3dc276323cbaf1,0,Leakers: you're out. Ambitious MPs looking to prosper should think twice before leaking stories and soundbites.,BBC News - UK Politics
0c20f0b535828ba9630cfb1fcf7f32b3,1,"Facts and figures behind our climate and weather. What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.",['BBC News - Home' 'BBC News - Science & Environment' 'BBC News - World']
0c3f9beb2b16dca1198d10eaf602e92e,0,"Oscars 2020: Who's been nominated?. The nominations for this year's Academy Awards have been announced, with Joker leading the pack with 11 nods.",BBC News - Entertainment & Arts
0d4672e62df468fd908b194960a9ddc3,0,Susan Warby death: Whistleblower letter to husband 'revealed blunders'. The hospital reportedly demanded fingerprints and samples of handwriting to find the whistleblower.,['BBC News - Health' 'BBC News - UK']
0d7b310d3afcf4fdcc224fb0a3486727,1,"Putin's plans: What Russian president's surprise means. New PM, new government and plans to change the constitution - the BBC's Sarah Rainsford explains what's going on in Russia.",BBC News - World
0d82e6e773fa57f76d2ee7fda98ba880,0,Actor Laurence Fox's Question Time clash over Meghan. The Lewis actor clashed with an audience member over whether press coverage was racist.,['BBC News - Entertainment & Arts' 'BBC News - Home' 'BBC News - UK']
0e0b56adeec92027168a8db8c06cdc4f,1,Taal: Time-lapse of lightning storm swirling round Philippine volcano. Dramatic time-lapse footage shows lightning swirling around the Taal volcano as it spewed ash.,BBC News - Science & Environment
0e93da4394e5fb4ef6f076c6daf3f6be,1,China's economic growth hits 30-year low. The world's second largest economy has seen weak domestic demand amid a trade war with the US.,BBC News - Business
0ff3847eab62e608b4776d0ee275c3c7,1,"Putting pupils in isolation 'drives poor behaviour'. The use of isolation rooms only makes behaviour more challenging, warns a mental health charity.",BBC News - Family & Education
