ID,is_interesting,news,category
005503512f38f130303cb133d656203b,0,"What 2020 holds for Scottish politics. After a tumultuous 2019, what does the new year have in prospect for Scottish politics?",BBC News - UK Politics
007b36b1081c3dddafe8869961ded463,0,London council's special needs inquiry caused by 'systemic failures'. The cases of all children with suspected special educational needs in Richmond are going to be reviewed.,BBC News - Family & Education
00d684e0145b5fb5f15adbcb5fc23ee4,0,Primary league tables: How did your school do?. New primary school league table data for England has been published by the Department for Education.,BBC News - Family & Education
043d4121f98949800bfd5332c83de874,0,"Sheffield students paid to tackle racist language on campus. The students will be trained to tackle ""subtle but offensive comments"" on campus and in student housing.",BBC News - Family & Education
04d12cab919215b69fd97f80d2225fb2,0,"Eminem criticised for lyric about bomb at Ariana Grande gig. ""What you said was hurtful to so many people,"" fans tell the rapper after hearing his latest lyrics.",['BBC News - Entertainment & Arts' 'BBC News - Home' 'BBC News - World']
054d7a775f77b68d8aa433082b02d224,1,"Secrets of '1,000-year-old trees' unlocked. Scientists discover how the ginkgo lives to such an old age, surviving for centuries or millennia.",BBC News - Science & Environment
06113c818fdff9e1076d7ce19c60709a,0,"Climate change: Can Glasgow go carbon neutral?. As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.",['BBC News - Home' 'BBC News - Science & Environment' 'BBC News - UK']
09cbd95286a4054106ea706ac08e8f61,0,Climate change: Citizens' jury prepares to tackle climate change. UK panel will tackle some of the dilemmas around global warming.,"['BBC News - Home' 'BBC News - Science & Environment'
 'BBC News - UK Politics']"
0a35f79b90d245f970bfc721f2dd5018,0,Microsoft makes 'carbon negative' pledge. The tech giant promises to remove all the carbon it has emitted since its founding in 1975.,"['BBC News - Business' 'BBC News - Science & Environment'
 'BBC News - Technology']"
0ae0ec6518e7f384711a3db110c30bcc,0,Leo Varadkar calls for 'level playing field' on Brexit negotiations. The taoiseach held a press conference with European Commission president Ursula von der Leyen in Dublin.,BBC News - UK Politics
0b1aab40be26cfb317516f82ab3daff2,0,Labour leadership: What matters to members?. BBC political editor Laura Kuenssberg speaks to Labour members about what the party needs to do to recover.,BBC News - UK Politics
0bd23a06bdd2e8d98382b600aaddb57c,0,"Scottish independence: Labour candidate Lisa Nandy criticised for Catalonia remarks. Lisa Nandy claims that the UK should ""look to Catalonia"" for lessons on how to defeat Scottish nationalism.",BBC News - UK Politics
0c1fa1da6a3284fb3d3dc276323cbaf1,0,Leakers: you're out. Ambitious MPs looking to prosper should think twice before leaking stories and soundbites.,BBC News - UK Politics
0c20f0b535828ba9630cfb1fcf7f32b3,0,"Facts and figures behind our climate and weather. What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.",['BBC News - Home' 'BBC News - Science & Environment' 'BBC News - World']
0c3f9beb2b16dca1198d10eaf602e92e,0,"Oscars 2020: Who's been nominated?. The nominations for this year's Academy Awards have been announced, with Joker leading the pack with 11 nods.",BBC News - Entertainment & Arts
0cb1bbb217cacb7bf0e5d62a835225e7,0,"Health secretary hints at end to four-hour A&E target. Matt Hancock tells BBC Radio 5 Live the government should be judged on ""the right target"".",BBC News - UK Politics
0d7b310d3afcf4fdcc224fb0a3486727,0,"Putin's plans: What Russian president's surprise means. New PM, new government and plans to change the constitution - the BBC's Sarah Rainsford explains what's going on in Russia.",BBC News - World
0d82e6e773fa57f76d2ee7fda98ba880,0,Actor Laurence Fox's Question Time clash over Meghan. The Lewis actor clashed with an audience member over whether press coverage was racist.,['BBC News - Entertainment & Arts' 'BBC News - Home' 'BBC News - UK']
0e0b56adeec92027168a8db8c06cdc4f,0,Taal: Time-lapse of lightning storm swirling round Philippine volcano. Dramatic time-lapse footage shows lightning swirling around the Taal volcano as it spewed ash.,BBC News - Science & Environment
0e93da4394e5fb4ef6f076c6daf3f6be,2,China's economic growth hits 30-year low. The world's second largest economy has seen weak domestic demand amid a trade war with the US.,['BBC News - Business' 'BBC News - World']
0ff3847eab62e608b4776d0ee275c3c7,0,"Putting pupils in isolation 'drives poor behaviour'. The use of isolation rooms only makes behaviour more challenging, warns a mental health charity.",BBC News - Family & Education
10649228e73bd7702a8b68bc00936660,0,"Night rider: 21 years sleeping on a London bus. When Sunny's asylum application was refused, he took refuge overnight on London's buses - for two decades.",BBC News - Home
111a3dc6dfdd89aaddb19a882809f6f6,0,Twitter apologises for letting ads target neo-Nazis and bigots. Social network apologises for allowing the use of discriminatory ad keywords it had meant to ban.,BBC News - Business
11a357f4a038939b0f102ece7d188d77,0,How the dog biscuit became a million dollar idea. The BBC's Aaron Heslehurst explains how the dog biscuit became a million dollar idea.,BBC News - Business
12e0b3c6782e578e7d9c807d5fa613e3,1,'Rosalind Franklin' Mars rover edges closer to launch. Europe's six-wheeled robot completes more key tests ahead of its planned summer launch.,BBC News - Science & Environment
13a58d09ef0c7b5a73a2cd6b4e3a2336,0,What's behind the fight for Libya?. The oil-rich North African country has been beset by a civil war for nearly a decade.,['BBC News - Home' 'BBC News - World']
13d9a61c9d8d646fe5289c319542e5ad,0,"Brexit: Fundraising appeal launched for Big Ben chimes. A crowdfunding project aims to raise £500,000 by the weekend to pay for the bell to ring on 31 January.",BBC News - UK Politics
